s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,angle,time,session
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.3609375,0.3613246094,0.644,1
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.348046875,0.3613246094,0.645,1
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.348046875,0.3613246094,0.646,1
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.348046875,0.3613246094,0.647,1
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.348046875,0.3613246094,0.648,1
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.348046875,0.3613246094,0.649,1
0.270703125,0.193359375,0.193359375,0.193359375,0.54140625,0.502734375,0.193359375,0.348046875,0.3613246094,0.65,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.502734375,0.193359375,0.33515625,0.3613246094,0.651,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.502734375,0.193359375,0.33515625,0.3613246094,0.652,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.515625,0.193359375,0.33515625,0.3613246094,0.653,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.515625,0.193359375,0.322265625,0.3613246094,0.654,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.502734375,0.193359375,0.322265625,0.3613246094,0.655,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.502734375,0.193359375,0.322265625,0.3613246094,0.656,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.502734375,0.193359375,0.322265625,0.3613246094,0.657,1
0.270703125,0.193359375,0.193359375,0.193359375,0.476953125,0.502734375,0.18046875,0.322265625,0.3613246094,0.658,1
0.270703125,0.18046875,0.193359375,0.18046875,0.476953125,0.502734375,0.18046875,0.322265625,0.3613246094,0.659,1
0.270703125,0.18046875,0.18046875,0.18046875,0.476953125,0.502734375,0.18046875,0.322265625,0.3613246094,0.66,1
0.28359375,0.193359375,0.193359375,0.20625,0.425390625,0.528515625,0.20625,0.296484375,0.3613246094,0.661,1
0.28359375,0.193359375,0.193359375,0.20625,0.425390625,0.528515625,0.20625,0.296484375,0.3613246094,0.662,1
0.28359375,0.193359375,0.193359375,0.20625,0.43828125,0.528515625,0.20625,0.296484375,0.3613246094,0.663,1
0.28359375,0.193359375,0.193359375,0.20625,0.43828125,0.528515625,0.20625,0.309375,0.3613246094,0.664,1
0.28359375,0.193359375,0.193359375,0.20625,0.43828125,0.528515625,0.20625,0.309375,0.3613246094,0.665,1
0.28359375,0.193359375,0.193359375,0.20625,0.451171875,0.528515625,0.20625,0.309375,0.3613246094,0.666,1
0.28359375,0.193359375,0.193359375,0.20625,0.451171875,0.528515625,0.20625,0.309375,0.3613246094,0.667,1
0.28359375,0.193359375,0.193359375,0.20625,0.451171875,0.528515625,0.20625,0.322265625,0.3613246094,0.668,1
0.28359375,0.193359375,0.193359375,0.20625,0.4640625,0.528515625,0.20625,0.322265625,0.3613246094,0.669,1
0.28359375,0.193359375,0.193359375,0.20625,0.4640625,0.528515625,0.20625,0.322265625,0.3613246094,0.67,1
0.28359375,0.193359375,0.193359375,0.193359375,0.528515625,0.54140625,0.193359375,0.348046875,0.3939830078,0.671,1
0.28359375,0.193359375,0.193359375,0.193359375,0.528515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.672,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.673,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.674,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.675,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.676,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.677,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.678,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.679,1
0.28359375,0.193359375,0.193359375,0.193359375,0.515625,0.528515625,0.193359375,0.33515625,0.3939830078,0.68,1
0.2578125,0.18046875,0.18046875,0.18046875,0.451171875,0.528515625,0.18046875,0.296484375,0.3939830078,0.681,1
0.2578125,0.18046875,0.18046875,0.18046875,0.451171875,0.528515625,0.18046875,0.296484375,0.3939830078,0.682,1
0.2578125,0.18046875,0.18046875,0.18046875,0.43828125,0.528515625,0.18046875,0.296484375,0.3939830078,0.683,1
0.2578125,0.18046875,0.18046875,0.18046875,0.43828125,0.528515625,0.18046875,0.296484375,0.3939830078,0.684,1
0.2578125,0.18046875,0.18046875,0.18046875,0.43828125,0.528515625,0.18046875,0.28359375,0.3939830078,0.685,1
0.2578125,0.18046875,0.193359375,0.18046875,0.43828125,0.528515625,0.18046875,0.28359375,0.3939830078,0.686,1
0.2578125,0.18046875,0.193359375,0.18046875,0.43828125,0.528515625,0.193359375,0.28359375,0.3939830078,0.687,1
0.2578125,0.18046875,0.193359375,0.193359375,0.43828125,0.528515625,0.193359375,0.28359375,0.3939830078,0.688,1
0.270703125,0.193359375,0.193359375,0.193359375,0.43828125,0.528515625,0.193359375,0.28359375,0.3939830078,0.689,1
0.270703125,0.193359375,0.193359375,0.193359375,0.425390625,0.528515625,0.193359375,0.28359375,0.3939830078,0.69,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.54140625,0.20625,0.296484375,0.3939830078,0.691,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.54140625,0.20625,0.296484375,0.3939830078,0.692,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.54140625,0.20625,0.296484375,0.3939830078,0.693,1
0.28359375,0.20625,0.20625,0.20625,0.43828125,0.54140625,0.20625,0.309375,0.3939830078,0.694,1
0.28359375,0.20625,0.20625,0.20625,0.43828125,0.54140625,0.20625,0.309375,0.3939830078,0.695,1
0.28359375,0.20625,0.20625,0.20625,0.43828125,0.54140625,0.20625,0.309375,0.3939830078,0.696,1
0.28359375,0.20625,0.20625,0.20625,0.451171875,0.54140625,0.20625,0.309375,0.3939830078,0.697,1
0.28359375,0.20625,0.20625,0.20625,0.451171875,0.54140625,0.20625,0.322265625,0.3939830078,0.698,1
0.28359375,0.20625,0.20625,0.20625,0.4640625,0.54140625,0.20625,0.322265625,0.3939830078,0.699,1
0.28359375,0.20625,0.20625,0.20625,0.4640625,0.54140625,0.20625,0.322265625,0.3939830078,0.7,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.701,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.702,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.703,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.704,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.705,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.706,1
0.28359375,0.193359375,0.193359375,0.193359375,0.54140625,0.54140625,0.193359375,0.348046875,0.3939830078,0.707,1
0.28359375,0.193359375,0.193359375,0.193359375,0.528515625,0.54140625,0.193359375,0.348046875,0.3939830078,0.708,1
0.28359375,0.193359375,0.193359375,0.20625,0.528515625,0.54140625,0.193359375,0.348046875,0.3939830078,0.709,1
0.28359375,0.193359375,0.193359375,0.20625,0.528515625,0.54140625,0.193359375,0.348046875,0.3939830078,0.71,1
0.28359375,0.193359375,0.193359375,0.193359375,0.48984375,0.528515625,0.193359375,0.33515625,0.4266414063,0.711,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.528515625,0.193359375,0.322265625,0.4266414063,0.712,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.515625,0.193359375,0.322265625,0.4266414063,0.713,1
0.270703125,0.193359375,0.193359375,0.18046875,0.48984375,0.515625,0.18046875,0.322265625,0.4266414063,0.714,1
0.270703125,0.18046875,0.193359375,0.18046875,0.476953125,0.515625,0.18046875,0.322265625,0.4266414063,0.715,1
0.270703125,0.18046875,0.18046875,0.18046875,0.476953125,0.515625,0.18046875,0.322265625,0.4266414063,0.716,1
0.270703125,0.18046875,0.18046875,0.18046875,0.476953125,0.515625,0.18046875,0.322265625,0.4266414063,0.717,1
0.270703125,0.18046875,0.18046875,0.18046875,0.476953125,0.515625,0.18046875,0.322265625,0.4266414063,0.718,1
0.270703125,0.18046875,0.18046875,0.18046875,0.476953125,0.515625,0.18046875,0.309375,0.4266414063,0.719,1
0.270703125,0.18046875,0.18046875,0.18046875,0.476953125,0.515625,0.18046875,0.309375,0.4266414063,0.72,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4592998047,0.721,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4592998047,0.722,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4592998047,0.723,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4266414063,0.724,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4266414063,0.725,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4266414063,0.726,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4266414063,0.727,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4266414063,0.728,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.528515625,0.20625,0.270703125,0.4266414063,0.729,1
0.28359375,0.193359375,0.193359375,0.20625,0.425390625,0.528515625,0.20625,0.270703125,0.4266414063,0.73,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.528515625,0.20625,0.3609375,0.4266414063,0.731,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.528515625,0.20625,0.3609375,0.4266414063,0.732,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.528515625,0.20625,0.3609375,0.4266414063,0.733,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.528515625,0.193359375,0.3609375,0.4266414063,0.734,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.528515625,0.193359375,0.3609375,0.4266414063,0.735,1
0.296484375,0.193359375,0.20625,0.20625,0.554296875,0.528515625,0.193359375,0.3609375,0.4266414063,0.736,1
0.296484375,0.193359375,0.20625,0.20625,0.554296875,0.528515625,0.193359375,0.3609375,0.4266414063,0.737,1
0.296484375,0.193359375,0.20625,0.20625,0.554296875,0.528515625,0.193359375,0.3609375,0.4266414063,0.738,1
0.28359375,0.193359375,0.193359375,0.20625,0.554296875,0.528515625,0.193359375,0.3609375,0.4266414063,0.739,1
0.28359375,0.193359375,0.193359375,0.20625,0.554296875,0.54140625,0.193359375,0.348046875,0.4266414063,0.74,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.741,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.742,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.743,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.744,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.745,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.746,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.747,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.528515625,0.193359375,0.33515625,0.4266414063,0.748,1
0.28359375,0.193359375,0.193359375,0.193359375,0.48984375,0.528515625,0.193359375,0.33515625,0.4266414063,0.749,1
0.28359375,0.193359375,0.193359375,0.193359375,0.48984375,0.528515625,0.193359375,0.33515625,0.4266414063,0.75,1
0.28359375,0.193359375,0.193359375,0.193359375,0.425390625,0.54140625,0.193359375,0.270703125,0.4592998047,0.751,1
0.28359375,0.193359375,0.193359375,0.193359375,0.425390625,0.54140625,0.193359375,0.270703125,0.4592998047,0.752,1
0.28359375,0.193359375,0.193359375,0.193359375,0.425390625,0.54140625,0.193359375,0.270703125,0.4592998047,0.753,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4125,0.54140625,0.193359375,0.270703125,0.4592998047,0.754,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4125,0.54140625,0.193359375,0.270703125,0.4592998047,0.755,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4125,0.54140625,0.193359375,0.270703125,0.4592998047,0.756,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4125,0.54140625,0.193359375,0.270703125,0.4592998047,0.757,1
0.28359375,0.193359375,0.193359375,0.20625,0.4125,0.54140625,0.193359375,0.270703125,0.4592998047,0.758,1
0.28359375,0.193359375,0.20625,0.20625,0.4125,0.54140625,0.193359375,0.270703125,0.4592998047,0.759,1
0.28359375,0.193359375,0.20625,0.20625,0.4125,0.54140625,0.20625,0.2578125,0.4592998047,0.76,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.4592998047,0.761,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.4592998047,0.762,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.4592998047,0.763,1
0.296484375,0.20625,0.20625,0.20625,0.528515625,0.554296875,0.20625,0.33515625,0.4592998047,0.764,1
0.296484375,0.20625,0.20625,0.20625,0.528515625,0.554296875,0.20625,0.33515625,0.4592998047,0.765,1
0.296484375,0.20625,0.20625,0.20625,0.528515625,0.554296875,0.20625,0.33515625,0.4592998047,0.766,1
0.296484375,0.20625,0.20625,0.20625,0.528515625,0.54140625,0.20625,0.33515625,0.4592998047,0.767,1
0.296484375,0.20625,0.20625,0.20625,0.54140625,0.54140625,0.20625,0.33515625,0.4592998047,0.768,1
0.296484375,0.20625,0.20625,0.20625,0.54140625,0.54140625,0.20625,0.33515625,0.4592998047,0.769,1
0.296484375,0.20625,0.20625,0.20625,0.54140625,0.54140625,0.20625,0.348046875,0.4592998047,0.77,1
0.296484375,0.20625,0.20625,0.20625,0.54140625,0.554296875,0.193359375,0.348046875,0.4919582031,0.771,1
0.296484375,0.193359375,0.20625,0.20625,0.54140625,0.554296875,0.193359375,0.348046875,0.4919582031,0.772,1
0.296484375,0.193359375,0.20625,0.20625,0.54140625,0.554296875,0.193359375,0.348046875,0.4919582031,0.773,1
0.296484375,0.193359375,0.193359375,0.20625,0.54140625,0.554296875,0.193359375,0.348046875,0.4919582031,0.774,1
0.296484375,0.193359375,0.193359375,0.20625,0.54140625,0.554296875,0.193359375,0.348046875,0.4919582031,0.775,1
0.296484375,0.193359375,0.193359375,0.20625,0.54140625,0.54140625,0.193359375,0.348046875,0.4919582031,0.776,1
0.296484375,0.193359375,0.193359375,0.20625,0.528515625,0.54140625,0.193359375,0.348046875,0.4919582031,0.777,1
0.296484375,0.193359375,0.193359375,0.20625,0.528515625,0.54140625,0.193359375,0.348046875,0.4919582031,0.778,1
0.296484375,0.193359375,0.193359375,0.193359375,0.528515625,0.54140625,0.193359375,0.348046875,0.4919582031,0.779,1
0.296484375,0.193359375,0.193359375,0.193359375,0.528515625,0.54140625,0.193359375,0.348046875,0.4919582031,0.78,1
0.28359375,0.193359375,0.193359375,0.193359375,0.476953125,0.54140625,0.18046875,0.296484375,0.4919582031,0.781,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.18046875,0.296484375,0.4919582031,0.782,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.18046875,0.296484375,0.4919582031,0.783,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.193359375,0.296484375,0.4919582031,0.784,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.193359375,0.296484375,0.4919582031,0.785,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.193359375,0.296484375,0.4919582031,0.786,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.193359375,0.28359375,0.4919582031,0.787,1
0.28359375,0.193359375,0.193359375,0.193359375,0.4640625,0.54140625,0.193359375,0.28359375,0.4919582031,0.788,1
0.28359375,0.193359375,0.193359375,0.193359375,0.451171875,0.54140625,0.193359375,0.28359375,0.4919582031,0.789,1
0.28359375,0.193359375,0.193359375,0.193359375,0.451171875,0.554296875,0.193359375,0.28359375,0.4919582031,0.79,1
0.296484375,0.20625,0.20625,0.20625,0.43828125,0.554296875,0.20625,0.28359375,0.4919582031,0.791,1
0.296484375,0.20625,0.20625,0.20625,0.43828125,0.554296875,0.20625,0.28359375,0.4919582031,0.792,1
0.296484375,0.20625,0.20625,0.20625,0.451171875,0.554296875,0.20625,0.28359375,0.4919582031,0.793,1
0.296484375,0.20625,0.20625,0.20625,0.451171875,0.554296875,0.20625,0.296484375,0.4919582031,0.794,1
0.296484375,0.20625,0.20625,0.20625,0.451171875,0.554296875,0.20625,0.296484375,0.4919582031,0.795,1
0.296484375,0.20625,0.20625,0.20625,0.451171875,0.554296875,0.20625,0.296484375,0.4919582031,0.796,1
0.296484375,0.20625,0.20625,0.20625,0.4640625,0.554296875,0.20625,0.309375,0.4919582031,0.797,1
0.296484375,0.20625,0.20625,0.20625,0.4640625,0.554296875,0.20625,0.309375,0.4919582031,0.798,1
0.296484375,0.20625,0.20625,0.20625,0.476953125,0.554296875,0.20625,0.309375,0.4919582031,0.799,1
0.296484375,0.20625,0.20625,0.20625,0.476953125,0.554296875,0.20625,0.322265625,0.4919582031,0.8,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.373828125,0.4919582031,0.801,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.373828125,0.4919582031,0.802,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.373828125,0.4919582031,0.803,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.3609375,0.4919582031,0.804,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.3609375,0.4919582031,0.805,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.3609375,0.4919582031,0.806,1
0.28359375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.193359375,0.3609375,0.4919582031,0.807,1
0.28359375,0.20625,0.20625,0.20625,0.54140625,0.554296875,0.193359375,0.3609375,0.4919582031,0.808,1
0.28359375,0.20625,0.20625,0.20625,0.54140625,0.554296875,0.193359375,0.3609375,0.4919582031,0.809,1
0.28359375,0.20625,0.20625,0.20625,0.54140625,0.554296875,0.193359375,0.3609375,0.4919582031,0.81,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.5671875,0.193359375,0.33515625,0.5246166016,0.811,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.554296875,0.193359375,0.33515625,0.5246166016,0.812,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.554296875,0.193359375,0.33515625,0.5246166016,0.813,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.554296875,0.193359375,0.33515625,0.5246166016,0.814,1
0.28359375,0.193359375,0.193359375,0.193359375,0.502734375,0.554296875,0.193359375,0.322265625,0.5246166016,0.815,1
0.270703125,0.193359375,0.193359375,0.193359375,0.502734375,0.554296875,0.193359375,0.322265625,0.5246166016,0.816,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.554296875,0.193359375,0.322265625,0.5246166016,0.817,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.554296875,0.193359375,0.322265625,0.5246166016,0.818,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.554296875,0.193359375,0.322265625,0.5246166016,0.819,1
0.270703125,0.193359375,0.193359375,0.193359375,0.48984375,0.554296875,0.193359375,0.322265625,0.5246166016,0.82,1
0.296484375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.821,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.822,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.823,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.824,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.825,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.826,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.827,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.828,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.829,1
0.28359375,0.20625,0.20625,0.20625,0.425390625,0.554296875,0.20625,0.270703125,0.5246166016,0.83,1
0.296484375,0.20625,0.20625,0.20625,0.54140625,0.554296875,0.20625,0.3609375,0.5246166016,0.831,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.832,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.833,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.834,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.835,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.836,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.837,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.838,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.5671875,0.20625,0.3609375,0.5246166016,0.839,1
0.296484375,0.20625,0.20625,0.20625,0.554296875,0.554296875,0.20625,0.3609375,0.5246166016,0.84,1
0.296484375,0.20625,0.20625,0.20625,0.528515625,0.554296875,0.20625,0.348046875,0.5246166016,0.841,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.348046875,0.5246166016,0.842,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.843,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.844,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.845,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.846,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.847,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.848,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.849,1
0.296484375,0.20625,0.20625,0.20625,0.515625,0.554296875,0.20625,0.33515625,0.5246166016,0.85,1
0.296484375,0.193359375,0.193359375,0.193359375,0.451171875,0.554296875,0.193359375,0.28359375,0.557275,0.851,1
0.296484375,0.193359375,0.193359375,0.193359375,0.451171875,0.554296875,0.193359375,0.270703125,0.557275,0.852,1
0.296484375,0.193359375,0.193359375,0.193359375,0.451171875,0.554296875,0.193359375,0.270703125,0.557275,0.853,1
0.296484375,0.193359375,0.193359375,0.193359375,0.451171875,0.554296875,0.193359375,0.270703125,0.557275,0.854,1
