s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,angle,time,session
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.93359375,0.3609375,0.8765625,1.439051758,1.814,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.93359375,0.3609375,0.8765625,1.439051758,1.815,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.816,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.817,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.818,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.819,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.82,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.821,1
0.825,0.4640625,1.134375,0.528515625,1.637109375,1.920703125,0.3609375,0.8765625,1.439051758,1.822,1
0.825,0.43828125,1.16015625,0.528515625,1.7015625,1.894921875,0.3609375,0.8765625,1.439051758,1.823,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.824,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.825,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.826,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.827,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.828,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.829,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.83,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.831,1
0.825,0.43828125,1.16015625,0.528515625,1.688671875,1.894921875,0.3609375,0.8765625,1.439051758,1.832,1
0.825,0.425390625,1.095703125,0.54140625,1.766015625,1.85625,0.3609375,0.8765625,1.439051758,1.833,1
0.825,0.425390625,1.0828125,0.54140625,1.766015625,1.85625,0.3609375,0.8765625,1.439051758,1.834,1
